shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
[@12.0.11838882@]10_20251005,-41.284638,174.737774,71,1436.8760266750735
[@12.0.11838882@]10_20251005,-41.284615,174.737856,72,1444.1885201550272
[@12.0.11838882@]10_20251005,-41.284549,174.738084,73,1464.6042732656877
[@12.0.11838882@]10_20251005,-41.284506,174.738238,74,1478.3315555155448
[@12.0.11838882@]10_20251005,-41.2845043,174.7382436,75,1478.8339065875405
[@12.0.11838882@]10_20251005,-41.28443602,174.7382243,76,1486.596002833982
[@12.0.11838882@]10_20251005,-41.2845043,174.7382436,77,1494.3580990804237
[@12.0.11838882@]10_20251005,-41.284453,174.738425,78,1510.553426624939
[@12.0.11838882@]10_20251005,-41.284443,174.73846,79,1513.6819775623037
[@12.0.11838882@]10_20251005,-41.284408,174.738602,80,1526.1687837019847
[@12.0.11838882@]10_20251005,-41.284312,174.738963,81,1558.1659669694527
[@12.0.11838882@]10_20251005,-41.284263,174.739133,82,1573.3793509689654
[@12.0.11838882@]10_20251005,-41.284206,174.739316,83,1589.931908632654
[@12.0.11838882@]10_20251005,-41.28416,174.739483,84,1604.793473187153
[@12.0.11838882@]10_20251005,-41.284136,174.739562,85,1611.9142632441042
[@12.0.11838882@]10_20251005,-41.284077,174.739756,86,1629.401719747504
[@12.0.11838882@]10_20251005,-41.283918,174.740323,87,1679.9701434330989
[@12.0.11838882@]10_20251005,-41.2836741,174.7411663,88,1755.4732994653468
[@12.0.11838882@]10_20251005,-41.28361466,174.7411492,89,1762.23440850593
[@12.0.11838882@]10_20251005,-41.2836741,174.7411663,90,1768.9955175465134
[@12.0.11838882@]10_20251005,-41.2836,174.741423,91,1791.973029534779
[@12.0.11838882@]10_20251005,-41.283516,174.741756,92,1821.3237418973983
[@12.0.11838882@]10_20251005,-41.283452,174.74199,93,1842.130850585881
[@12.0.11838882@]10_20251005,-41.282886,174.744008,94,2022.114203310745
[@12.0.11838882@]10_20251005,-41.282833,174.744202,95,2039.362693255686
[@12.0.11838882@]10_20251005,-41.282663,174.744811,96,2093.647664842182
[@12.0.11838882@]10_20251005,-41.28261,174.745011,97,2111.368323328223
[@12.0.11838882@]10_20251005,-41.282504,174.745391,98,2145.23805945172
[@12.0.11838882@]10_20251005,-41.282463,174.745515,99,2156.558487397933
[@12.0.11838882@]10_20251005,-41.28243,174.745631,100,2166.922549538089
[@12.0.11838882@]10_20251005,-41.28241,174.745711,101,2173.9669886748443
[@12.0.11838882@]10_20251005,-41.282377,174.745823,102,2184.018942709098
[@12.0.11838882@]10_20251005,-41.2823073,174.7460702,103,2206.080964179351
[@12.0.11838882@]10_20251005,-41.28229753,174.74606751,104,2207.196202954807
[@12.0.11838882@]10_20251005,-41.2823073,174.7460702,105,2208.311441730263
[@12.0.11838882@]10_20251005,-41.282304,174.746082,106,2209.3643265724063
[@12.0.11838882@]10_20251005,-41.28228,174.746165,107,2216.7954120664454
[@12.0.11838882@]10_20251005,-41.282243,174.746297,108,2228.567788072304
[@12.0.11838882@]10_20251005,-41.28222,174.746377,109,2235.7251891163733
[@12.0.11838882@]10_20251005,-41.282155,174.746604,110,2256.02361824662
[@12.0.11838882@]10_20251005,-41.281813,174.74789,111,2370.012370925579
[@12.0.11838882@]10_20251005,-41.281789,174.748018,112,2381.036332470668
[@12.0.11838882@]10_20251005,-41.281779,174.748153,113,2392.3714795851174
[@12.0.11838882@]10_20251005,-41.281771,174.748376,114,2411.026472576135
[@12.0.11838882@]10_20251005,-41.281762,174.748617,115,2431.189470415034
[@12.0.11838882@]10_20251005,-41.281753,174.748814,116,2447.681478718599
[@12.0.11838882@]10_20251005,-41.281741,174.749153,117,2476.039694121446
[@12.0.11838882@]10_20251005,-41.281718,174.749382,118,2495.345228543124
[@12.0.11838882@]10_20251005,-41.281699,174.749472,119,2503.156516572209
[@12.0.11838882@]10_20251005,-41.281675,174.749565,120,2511.372682976053
[@12.0.11838882@]10_20251005,-41.281524,174.750072,121,2556.9438644939883
[@12.0.11838882@]10_20251005,-41.281501,174.750134,122,2562.72168181753
[@12.0.11838882@]10_20251005,-41.281474,174.750197,123,2568.781210283704
[@12.0.11838882@]10_20251005,-41.281463,174.750212,124,2570.5317331019533
[@12.0.11838882@]10_20251005,-41.2812529,174.7504862,125,2603.254310587557
[@12.0.11838882@]10_20251005,-41.28118846,174.7504369,126,2611.5202375969225
[@12.0.11838882@]10_20251005,-41.2812529,174.7504862,127,2619.7861646062875
[@12.0.11838882@]10_20251005,-41.281149,174.750622,128,2635.9803791081195
[@12.0.11838882@]10_20251005,-41.281124,174.750657,129,2640.015972423323
[@12.0.11838882@]10_20251005,-41.280982,174.750862,130,2663.3132892041567
[@12.0.11838882@]10_20251005,-41.280947,174.750955,131,2672.004937529877
[@12.0.11838882@]10_20251005,-41.280938,174.751087,132,2683.0810992439774
[@12.0.11838882@]10_20251005,-41.280971,174.751178,133,2691.524483599121
[@12.0.11838882@]10_20251005,-41.281039,174.751316,134,2705.3139976496527
[@12.0.11838882@]10_20251005,-41.281111,174.751444,135,2718.673945918901
[@12.0.11838882@]10_20251005,-41.281208,174.751564,136,2733.400876075222
[@12.0.11838882@]10_20251005,-41.281342,174.75172,137,2753.1984984077444
[@12.0.11838882@]10_20251005,-41.281405,174.751825,138,2764.4257920027226
[@12.0.11838882@]10_20251005,-41.281437,174.75191,139,2772.369794479761
[@12.0.11838882@]10_20251005,-41.281506,174.752136,140,2792.75373769826
[@12.0.11838882@]10_20251005,-41.281543,174.75226,141,2803.902084000339
[@12.0.11838882@]10_20251005,-41.281569,174.75238,142,2814.3380745221266
[@12.0.11838882@]10_20251005,-41.281623,174.752446,143,2822.490922231389
[@12.0.11838882@]10_20251005,-41.2817,174.752492,144,2831.8760948975405
[@12.0.11838882@]10_20251005,-41.2818,174.75251,145,2843.09696463641
[@12.0.11838882@]10_20251005,-41.281887,174.752496,146,2852.8416135942134
[@12.0.11838882@]10_20251005,-41.282005,174.752466,147,2866.2002125781714
[@12.0.11838882@]10_20251005,-41.282118,174.752426,148,2879.2025545294205
[@12.0.11838882@]10_20251005,-41.282241,174.752413,149,2892.922941204642
[@12.0.11838882@]10_20251005,-41.282356,174.752391,150,2905.8418358806493
[@12.0.11838882@]10_20251005,-41.2825014,174.7523486,151,2922.393304524457
[@12.0.11838882@]10_20251005,-41.28253895999999,174.75247727,152,2933.927861489042
[@12.0.11838882@]10_20251005,-41.2825014,174.7523486,153,2945.4624184536265
[@12.0.11838882@]10_20251005,-41.282507,174.752347,154,2946.1063018608465
[@12.0.11838882@]10_20251005,-41.282591,174.752282,155,2956.9110214542525
[@12.0.11838882@]10_20251005,-41.282735,174.752147,156,2976.497652295413
[@12.0.11838882@]10_20251005,-41.282776,174.75213,157,2981.272819445906
[@12.0.11838882@]10_20251005,-41.282918,174.752092,158,2997.3785807168047
[@12.0.11838882@]10_20251005,-41.283123,174.752101,159,3020.1860148891983
[@12.0.11838882@]10_20251005,-41.283442,174.752141,160,3055.8142581961097
[@12.0.11838882@]10_20251005,-41.283734,174.752173,161,3088.3930213203344
[@12.0.11838882@]10_20251005,-41.283778,174.752192,162,3093.537085084364
[@12.0.11838882@]10_20251005,-41.283819,174.7522,163,3098.1451221180414
[@12.0.11838882@]10_20251005,-41.283932,174.752247,164,3111.309691793151
[@12.0.11838882@]10_20251005,-41.283988,174.752283,165,3118.225657983613
[@12.0.11838882@]10_20251005,-41.284049,174.752338,166,3126.418756022594
[@12.0.11838882@]10_20251005,-41.284116,174.752406,167,3135.7885510273504
[@12.0.11838882@]10_20251005,-41.284411,174.752771,168,3180.578760498027
[@12.0.11838882@]10_20251005,-41.284504,174.752963,169,3199.665740415553
[@12.0.11838882@]10_20251005,-41.284555,174.753126,170,3214.4183517649976
[@12.0.11838882@]10_20251005,-41.284582,174.7532572,171,3225.784862497246
[@12.0.11838882@]10_20251005,-41.28452301,174.75326936,172,3232.4222002233446
[@12.0.11838882@]10_20251005,-41.284582,174.7532572,173,3239.0595379494425
[@12.0.11838882@]10_20251005,-41.284587,174.753281,174,3241.1264285417824
[@12.0.11838882@]10_20251005,-41.284627,174.753531,175,3262.483735339696
[@12.0.11838882@]10_20251005,-41.284664,174.753766,176,3282.545907475024
[@12.0.11838882@]10_20251005,-41.284696,174.753948,177,3298.1638676146267
[@12.0.11838882@]10_20251005,-41.284726,174.754044,178,3306.85136718196
[@12.0.11838882@]10_20251005,-41.284743,174.754109,179,3312.602605310442
[@12.0.11838882@]10_20251005,-41.284928,174.754341,180,3340.8685033879765
[@12.0.11838882@]10_20251005,-41.285109,174.754494,181,3364.711664453646
[@12.0.11838882@]10_20251005,-41.285227,174.754581,182,3379.7114622508525
[@12.0.11838882@]10_20251005,-41.285342,174.754604,183,3392.642908346896
[@12.0.11838882@]10_20251005,-41.285908,174.754644,184,3455.667950717889
[@12.0.11838882@]10_20251005,-41.286202,174.754658,185,3488.380335755666
[@12.0.11838882@]10_20251005,-41.2867,174.754675,186,3543.7736739764173
[@12.0.11838882@]10_20251005,-41.286828,174.754686,187,3558.0361227387025
[@12.0.11838882@]10_20251005,-41.286974,174.754701,188,3574.318863479097
[@12.0.11838882@]10_20251005,-41.287047,174.754719,189,3582.573879809196
[@12.0.11838882@]10_20251005,-41.2871182,174.7547585,190,3591.1507060732933
[@12.0.11838882@]10_20251005,-41.28710344,174.75478538,191,3593.9315202038338
[@12.0.11838882@]10_20251005,-41.2871182,174.7547585,192,3596.712334334374
[@12.0.11838882@]10_20251005,-41.28713,174.754765,193,3598.136365770817
[@12.0.11838882@]10_20251005,-41.287187,174.75482,194,3605.964941806359
[@12.0.11838882@]10_20251005,-41.287239,174.754891,195,3614.2493839926415
[@12.0.11838882@]10_20251005,-41.287268,174.754961,196,3620.927333994862
[@12.0.11838882@]10_20251005,-41.28731,174.755119,197,3634.9302293325727
[@12.0.11838882@]10_20251005,-41.287408,174.755622,198,3678.3472848451815
[@12.0.11838882@]10_20251005,-41.287508,174.756109,199,3720.529500826821
[@12.0.11838882@]10_20251005,-41.287522,174.756259,200,3733.159124589137
[@12.0.11838882@]10_20251005,-41.287518,174.756319,201,3738.1915978687975
[@12.0.11838882@]10_20251005,-41.287505,174.756373,202,3742.9288662681215
[@12.0.11838882@]10_20251005,-41.287461,174.756453,203,3751.2116764271664
[@12.0.11838882@]10_20251005,-41.287396,174.756533,204,3761.0561645782695
[@12.0.11838882@]10_20251005,-41.287367,174.756567,205,3765.352451662353
[@12.0.11838882@]10_20251005,-41.287281,174.756671,206,3778.273439088395
[@12.0.11838882@]10_20251005,-41.287183,174.756782,207,3792.583203413899
[@12.0.11838882@]10_20251005,-41.287144,174.756835,208,3798.780967490042
[@12.0.11838882@]10_20251005,-41.2870396,174.756928,209,3812.750353780296
[@12.0.11838882@]10_20251005,-41.28703440999999,174.7569222,210,3813.5098372130656
[@12.0.11838882@]10_20251005,-41.2870396,174.756928,211,3814.2693206458353
[@12.0.11838882@]10_20251005,-41.286987,174.756975,212,3821.3143994592447
[@12.0.11838882@]10_20251005,-41.286951,174.757023,213,3826.981973016469
[@12.0.11838882@]10_20251005,-41.286932,174.757082,214,3832.345614722158
[@12.0.11838882@]10_20251005,-41.286929,174.757141,215,3837.2859070484615
