from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
SILV,8416,2,240,HVL__0__3840__RAIL__Rail_Xmas_Sat_20251116,115__0__415__TZM__506__4__506__4_20251116
2003,PORI1,2,0,226__0__117__TZM__314__314_20251116,KPL__1__6229__RAIL__Rail_MTuWThF-XHol_20251116
2003,PORI1,2,0,226__0__117__TZM__314__1__314__1_20251116,KPL__1__6229__RAIL__Rail_MTuWThF-XHol_20251116
8251,TAIT1,2,0,120__1__730__TZM__408__2__408__2_20251116,HVL__1__3847__RAIL__Rail_Xmas_Sun+Hol_20251116
8140,WATE1,2,0,170__0__177__TZM__434__1__434__1_20251116,HVL__1__3647__RAIL__Rail_MTuWThF-XHol_20251116
8140,WATE1,2,0,170__0__177__TZM__434__434_20251116,HVL__1__3647__RAIL__Rail_MTuWThF-XHol_20251116
8140,WATE1,2,0,160__1__458__TZM__601__4__601__4_20251116,HVL__1__3867__RAIL__Rail_SaSu_+_Hol_20251116
8140,WATE1,2,0,160__1__730__TZM__408__2__408__2_20251116,HVL__1__3867__RAIL__Rail_SaSu_+_Hol_20251116
8165,WATE1,2,0,130__1__180__TZM__401__6__401__6_20251116,HVL__1__3629__RAIL__Rail_MTuWThF-XHol_20251116
3000,3000,2,240,1__0__169__TZM__211__5__211__5_20251116,19__0__155__TZM__224__1__224__1_20251116
8580,UPPE,2,240,111__0__447__TZM__506__4__506__4_20251116,HVL__1__3855__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8580,UPPE,2,240,112__1__410__TZM__503__4__503__4_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
9001,PETO1,2,0,150__1__720__TZM__403__403_20251116,HVL__1__3855__RAIL__Rail_Xmas_Day_20251116
8580,UPPE,2,240,110__1__432__TZM__510__2__510__2_20251116,HVL__1__3831__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8140,WATE1,2,0,170__0__453__TZM__605__605_20251116,HVL__1__3861__RAIL__Rail_Xmas_Sat_20251116
8251,TAIT1,2,0,120__1__212__TZM__405__6__405__6_20251116,HVL__1__3657__RAIL__Rail_MTuWThF-XHol_20251116
8251,TAIT1,2,0,120__1__212__TZM__405__3__405__3_20251116,HVL__1__3657__RAIL__Rail_MTuWThF-XHol_20251116
PARA2,1005,2,0,KPL__0__6434__RAIL__Rail_Xmas_Sun+Hol_20251116,261__0__711__UZM__110__3__110__3_20251116
PARA2,1005,2,0,KPL__0__6434__RAIL__Rail_Xmas_Day_20251116,261__0__711__UZM__110__3__110__3_20251116
PARA2,1005,2,0,KPL__0__6434__RAIL__Rail_SaSu_+_Hol_20251116,261__0__711__UZM__110__3__110__3_20251116
PETO2,9001,2,0,HVL__0__3826__RAIL__Rail_SaSu_+_Hol_20251116,150__0__705__TZM__403__403_20251116
PETO2,9001,2,0,HVL__0__3826__RAIL__Rail_Xmas_Sun+Hol_20251116,150__0__705__TZM__403__403_20251116
PETO2,9001,2,0,HVL__0__3826__RAIL__Rail_Xmas_Day_20251116,150__0__705__TZM__403__403_20251116
UPPE,8579,2,240,HVL__0__2630__RAIL__Rail_MTuWThF-XHol_20251116,111__0__119__TZM__521__1__521__1_20251116
UPPE,8579,2,240,HVL__0__2630__RAIL__Rail_MTuWThF-XHol_20251116,111__0__119__TZM__521__521_20251116
UPPE,8579,2,240,HVL__0__3824__RAIL__Rail_Xmas_Sat_+_Additional_X_Aftmid_20251116,111__0__119__TZM__521__521_20251116
6733,6730,2,120,7__0__439__TZM__115__5__115__5_20251116,27__1__412__TZM__105__5__105__5_20251116
7700,7720,2,30,7__1__484__TZM__109__5__109__5_20251116,29__1__424__TZM__101__5__101__5_20251116
6720,7720,2,120,7__0__507__TZM__107__3__107__3_20251116,29__1__424__TZM__101__5__101__5_20251116
8580,UPPE,2,240,112__1__120__TZM__517__517_20251116,HVL__1__3835__RAIL__Rail_Xmas_Sat_+_Additional_X_Aftmid_20251116
8140,WATE1,2,0,160__1__116__TZM__605__2__605__2_20251116,HVL__1__4613__RAIL__Rail_MTuWThF-XHol_20251116
UPPE,8579,2,240,HVL__0__3622__RAIL__Rail_MTuWThF-XHol_20251116,110__0__167__TZM__514__1__514__1_20251116
PORI2,2001,2,0,KPL__0__6230__RAIL__Rail_MTuWThF-XHol_20251116,220__0__125__TZM__311__3__311__3_20251116
PORI2,2001,2,0,KPL__0__6230__RAIL__Rail_MTuWThF-XHol_20251116,220__0__125__TZM__311__4__311__4_20251116
PORI2,2001,2,0,KPL__0__6230__RAIL__Rail_MTuWThF-XHol_20251116,220__0__125__TZM__311__1__311__1_20251116
1006,PARA1,2,0,250__0__417__UZM__713__1__713__1_20251116,KPL__1__6447__RAIL__Rail_SaSu_+_Hol_20251116
1006,PARA1,2,0,250__0__717__UZM__106__106_20251116,KPL__1__6447__RAIL__Rail_SaSu_+_Hol_20251116
3000,3000,2,240,1__0__433__TZM__202__3__202__3_20251116,19__0__417__TZM__116__5__116__5_20251116
8140,WATE1,2,0,160__1__104__TZM__607__607_20251116,HVL__1__2609__RAIL__Rail_MTuWThF-XHol_20251116
WATE2,9140,2,0,HVL__0__3840__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,160__0__429__TZM__601__4__601__4_20251116
WATE2,9140,2,0,HVL__0__3840__RAIL__Rail_SaSu_+_Hol_20251116,160__0__429__TZM__601__4__601__4_20251116
WATE2,9140,2,0,HVL__0__3840__RAIL__Rail_Xmas_Sat_20251116,160__0__429__TZM__601__4__601__4_20251116
8251,TAIT1,2,0,120__1__474__TZM__409__409_20251116,HVL__1__3855__RAIL__Rail_SaSu_+_Hol_20251116
PARA2,1005,2,0,KPL__0__6228__RAIL__Rail_MTuWThF-XHol_20251116,262__0__153__UZM__4027__1__4027__1_20251116
PARA2,1005,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20251116,262__0__163__UZM__4013__1__4013__1_20251116
9416,SILV,2,240,115__0__407__TZM__503__4__503__4_20251116,HVL__1__3825__RAIL__Rail_Xmas_Sat_20251116
PETO2,9001,2,0,HVL__0__2618__RAIL__Rail_MTuWThF-XHol_20251116,154__0__137__TZM__2005__2005_20251116
PETO2,9001,2,0,MEL__0__5604__RAIL__Rail_MTuWThF-XHol_20251116,154__0__137__TZM__2005__2005_20251116
1006,PARA1,2,0,250__0__417__UZM__713__1__713__1_20251116,KPL__1__6447__RAIL__Rail_Xmas_Sat_20251116
7700,7720,2,30,7__1__168__TZM__117__6__117__6_20251116,29__1__148__TZM__215__6__215__6_20251116
6720,7720,2,120,7__0__163__TZM__209__5__209__5_20251116,29__1__148__TZM__215__6__215__6_20251116
1501,WAIK,2,240,281__0__709__UZM__103__1__103__1_20251116,KPL__1__6433__RAIL__Rail_Xmas_Sun+Hol_20251116
8580,UPPE,2,240,112__1__102__TZM__506__5__506__5_20251116,HVL__1__2611__RAIL__Rail_MTuWThF-XHol_20251116
8251,TAIT1,2,0,120__1__702__TZM__602__602_20251116,HVL__1__3819__RAIL__Rail_Xmas_Sun+Hol_20251116
9525,TREN1,2,0,114__0__107__TZM__510__510_20251116,HVL__1__3817__RAIL__Rail_Xmas_Sat_+_Additional_X_Aftmid_20251116
8297,TAIT1,2,0,121__1__122__TZM__436__1__436__1_20251116,HVL__1__3607__RAIL__Rail_MTuWThF-XHol_20251116
8297,TAIT1,2,0,121__1__122__TZM__436__436_20251116,HVL__1__3607__RAIL__Rail_MTuWThF-XHol_20251116
3000,3000,2,240,1__0__429__TZM__117__5__117__5_20251116,19__0__415__TZM__102__5__102__5_20251116
WATE2,9140,2,0,HVL__0__3818__RAIL__Rail_Xmas_Day_20251116,170__0__703__TZM__402__2__402__2_20251116
WATE2,9140,2,0,HVL__0__3818__RAIL__Rail_SaSu_+_Hol_20251116,170__0__703__TZM__402__2__402__2_20251116
WATE2,9140,2,0,HVL__0__3818__RAIL__Rail_Xmas_Sun+Hol_20251116,170__0__703__TZM__402__2__402__2_20251116
1006,PARA1,2,0,261__1__406__UZM__718__1__718__1_20251116,KPL__1__6425__RAIL__Rail_Xmas_Sat_20251116
PARA2,1004,2,0,KPL__0__6214__RAIL__Rail_MTuWThF-XHol_20251116,260__0__105__UZM__4007__1__4007__1_20251116
